"심우장","서울특별시 성북구 성북로29길 24","만해 한용운의 일제강점기 머물던 집"
"길상사","서울특별시 성북구 선잠로5길 68(성북동)","최고급 요정에서 도심속 도량으로 환골탈퇴"
"한국가구박물관","서울특별시 성북구 대사관로121","한국의 전통가구를 한눈에 볼수있는 곳"
"반월호수","경기도 군포시 호수로 92","순환산책로가 조성되어 있고 아름다운 풍경으로 유명한 장소이다."
"초막골 생태공원","경기도 군포시 초막골길 216","수리산이 가진 자연적 환경과 조선시대 역사유적 등의 문화유산을 겸비한 생태문화공간이다."
"수리산 도립공원","경기도 군포시 속달로 347-4","군포시민에게 마음의 안식처로 사랑받고 있는 수리산은 규모가 크고 봉우리가 많아 능선이 여러 갈래로 굽이쳐 기호에 따라 다양한 산행을 할 수 있다."
"수리산 산림욕장","경기도 군포시 수리산로 6-2","도심 속에서 숲을 느낄 수 있는 공간으로 산림욕장을 걷는 내내 북카페, 발지압장, 운동기구 등 체험할 수 있는 시설들이 가득하다."
"철쭉동산","경기도 군포시 고산로 460","빈틈없이 심긴 철쭉꽃이 만개한 모습은 많은 사람들에게 사랑을 받으며 군포의 대표축제로 자리매김하였다."
"목포근대역사관 1관 (구, 일본영사관)","목포시 영산로 29번길 6","목포 최초의 서구적 근대 건축물로 건립당시의 내·외관을 거의 그대로 유지하고 있으며 목포 개항 이후 1900년 12월 일본영사관으로 지어져 광복 이후 목포시청, 시립도서관, 문화원으로 사용하다가 현재는 목포 근대역사관 1관으로 운영중에 있다"
"주문진해변관광지","강원도 강릉시 주문진읍 주문북로 222-30 일원","주문진해변관광지는 주문진읍 향호리에 위치하고 넓은 백사장과 수심이 얕고 바닷물이 맑아 가족 단위 피서지에 적합한 곳임."
"연곡해변관광지","강원도 강릉시 연곡면 해안로 1282 일원","연곡해변관광지"
"등명해변관광지","강원도 강릉시 강동면 정동등명길 2 일원","등명해변관광지"
"대관령어흘리관광지","강원도 강릉시 성산면 삼포암길 17 일원","성산면 대관령 어흘리 관광지"
"팔봉산관광지","강원도 홍천군 서면 한치골길 1124","8개의 암봉과 홍천강이 어우러진 아름다운 명산"
"소노벨비발디파크","강원도 홍천군 서면 한치골길 262","휴양과 레저, 골프 및 스키 등 국내 최대규모의 관광휴양단지"
"수리사","경기도 군포시 속달로 347-181","진흥왕 때 세워진 수리사는 6.25전쟁을 거치며 모든 건물들이 소실되었다가 꾸준히 복원되어 오늘에 이르고 있다."
"물누리체험관","경기도 군포시 호수로 170-85","물과 관련된 다양한 체험프로그램이 있는 물누리체험관"
"누리천문대","경기도 군포시 대야2로 139","천문우주체험관. 4D입체상영관, 플라네타리움 등 유익하고 알찬 시설을 갖춘 최첨단 과학문화 공간, 대야도서관 4층에 있다."
"괴강","충청북도 괴산군 괴산읍 충민로검승3길 10","달천을 중심으로 괴강국민여가캥핑장 농업역사박물관, 각종 체육시설등이 조성된 관광지"
"수옥정","충청북도 괴산군 연풍면 수옥정길 174, 수옥정관광지관리사무소","드라마 촬영등으로 유명한 수옥폭포와 수옥정, 한여름의 더위를 식혀주는 수옥정 물놀이장과 더불어 조령산, 깃대봉 등의 명산이 어우러져 자인이 만들어 낸 천혜의 관광지"
"수동관광지","경기도 남양주시 수동면 비룡로 1635","몽골문화촌"
"송정관광지","경상남도 남해군 미조면 미송로 483","해수욕장이 넓게 분포되어 있으며, 해수욕장을 조금만 벗어나면 몽돌과 기암괴석이 뒤섞인 단애의 해안을 구경할 수 있다."
"영도관광안내센터","부산광역시 영도구 봉래나루로 79","부산의 새로운 관광명소로 각광받고있는 영도대교의 도개모습을 감상하고 영도관광에 필요한 종합서비스를 제공받을 수 있다."
"함평양서파충류생태공원","전라남도 함평군 신광면 학동로 1398-9","국내 최대 양서파충류 전문 전시관"
"허준근린공원","서울특별시 강서구 허준로5길 42","공원주위에는 서울 기념물 제11호인 허가바위가 있고 공원내에는 전설이 깃든 광주바위와 허준 선생이 앉아서 병자를 진료하는 인자한 모습의 동상 그리고 호수 정자 어린이 놀이 시설이 있으며 인근 주민들의 휴식공간으로 이용되고 있다."
"양천향교","서울특별시 강서구 양천로47나길 53","조선 태종 11년(1411년)에 만들어졌으며 현재 서울에 남아있는 유일한 향교이다. 이름 때문에 양천구에 위치한 것으로 오해할 수 있으나 실제로는 강서구 가양동에 위치하고 있다. 인근에 위치한 서울 지하철 9호선 양천향교역 역시 이 곳의 이름을 따서 제정되었다."
"약사사","서울특별시 강서구 금낭화로17길 261","서울 강서구 관내 전통사찰 중 제1의 위상을 지닌 대한불교조계종 직할교구 사찰"
"양천고성지","서울특별시 강서구 양천로47나길 52-54","양천고성지는 양천향교의 뒷산인 궁산에 있는 옛 성터. 백제 22대 문주왕이 웅진으로 천도(475년)하기 전 강 건너 고구려 침입에 대비하기 위해 쌓은 성으로 조선 성종(1470년)까지 요새가 있었던 것으로 짐작된다."
"궁산땅굴역사전시관","서울특별시 강서구 양천로49길 106","궁산 땅굴은 태평양전쟁 말기 일제 강점기에 굴착된 곳으로, 무기나 탄약 등, 군수물 자를 저장하거나 김포 비행장을 감시하고, 공습 때에는 부대 본부로 사용하기 위한 곳이었다고 전해진다."
"허가바위","서울특별시 강서구 허준로5길 15","옛날 석기 시대의 사람들이 이곳에서 살았으리라 짐작되는 혈거동굴로서 연구 가치가 매우 높다. 허준은 허가바위에서 『동의보감』을 완성했다고 한다."
"은평역사한옥박물관","서울특별시 은평구 연서로50길 8","은평구의 문화유산과 한옥의 전통을 소개하는 박물관"
"금성당","서울특별시 은평구 진관2로 57-23","세종대왕 6째 아들 금성대군을 모신 당"
"탑산약수온천","경상북도 의성군 봉양면 도리원2길 88-42","몸에 기를 넣어 건강을 증진시키는 유기 게르마늄 성분이 들어있는 세계 최고 게르마늄 함유 온천"
"함지공원","대구광역시 북구 동암로38길 9","대구광역시 북구 8경사진찍기좋은명소"
"구암서원","대구광역시 북구 연암공원로17길 20","대구광역시 북구 8경사진찍기좋은명소"
"침산정","대구광역시 북구 침산남로9길 118","대구광역시 북구 8경사진찍기좋은명소"
"청평사","강원도 춘천시 북산면 오봉산길 622","강원도에서 손에 꼽히는 고즈넉한 절, 청평사가 있으며, 오봉산에서 흘러오는 청평사 계곡이 있다. 계곡의 가운데 쯤에는 아름다운 구송폭포가 자리하고 있다."
"구곡폭포","강원도 춘천시 남산면 강촌구곡길 254","봉화산 근처 아홉구비를 돌아 떨어지는 구곡폭포와 탄성을 자아내는 하늘벽 바위 등 자연경관이 출중한 곳이며, 깔닥재를 넘으면 자연부락인 문배마을까지 볼 수 있다."
"여수세계박람회장","전라남도 여수시 박람회길 1","2012년 여수세계박람회를 성공적으로 개최한 장소로 단순 공원이 아닌 관광부터 비즈니스까지 원스톱으로 즐길 수 있는 전천후 복합문화체험공단."
"여수해양공원","전라남도 여수시 하멜로 96","해안선을 따라 조성된 1.5km 구간 시민공원으로 아름다운 여수 밤바다를 만끽 할 수 있는 최고의 휴식공간이다. 하멜등대, 해양케이블카, 돌산대교, 거북선대교, 장군도 등이 한눈에 보여 밤바다를 거닐 수 있는 필수 데이트 코스이며, 또한 각종 공연 및 행사가 다채롭게 열려 볼거리가 많다."
"예술랜드리조트","전라남도 여수시 돌산읍 무술목길 142-1,","전 객실 오션뷰, AR로 체험하는 국내 최대 테마형 3D트릭아트뮤지엄, +60미터 미디어 터널과 150미터 암반터널을 통해 만나는 조각공원, 바다를 바라보는 여수 최대규모 1500평 인피니티 풀로 새로운 종합관광지로 자리잡았다."
"여수이순신대교","전남 여수시 묘도7길 110","세계최고의 높이를 자랑하는 주탑높이(270m)는 63빌딩보다 높고 주탑간 거리 1,545m는 충무공 이순신 장군의 탄신해인 1545년을 기념하기 위한 것으로 웅장함과 탁 뜨인 바다 전경이 일품이다."
"불갑사관광지","전라남도 영광군 불갑면 불갑사로 450","유서깊은 불교문화의 역사와 수려한 자연경관를 간직한 불갑사 지구의 관광명소이며 관광수요에 능동적으로 대처할 수 있는 휴식공간 제공"
"협재관광지","","에메랄드 빛 바다색과 비양도 절경을 품고 있는 제주시 서부 대표 휴양지"
"곽지관광지","","접근성이 좋고 바닷물과 노천탕을 동시에 즐길 수 있는 제주시 서부 대표 휴양지"
"김녕관광지","","해양레져스포츠, 캠핑 등 즐길거리가 가득한 제주시 동부 대표 휴양지"
"당항포관광지","경상남도 고성군 회화면 당항만로 1116","당항포관광지는 임지왜란 당시 충무공 이순신 장군의 대첩지로서 다목적 관광지"
"장성호관광지","전라남도 장성군 북하면 백양로 591-4","문화예술공원,임권택시네마테크,수몰문화관 등이 모여 있는 장성호 상류의 관광지"
"홍길동테마파크","전라남도 장성군 황룡면 홍길동로 431","홍길동의 역사적 문화적 가치를 보존하고 있는 테마파크"
"을숙도 철새공원","부산광역시 사하구 낙동남로 1240(하단동)","철새를 보호하는 한편 습지를 비롯한 생태보존 공원"
"감천문화마을","부산광역시 사하구 감내2로 203(감천동)","한국전쟁 당시 피난민들이 모여산 계단식 마을로 다양한 예술작품 감상 가능"
"장림포구","부산광역시 사하구 장림로 93번길 72(장림동)","배가 드나드는 강의 어귀로 조선시대 군사요충지였으며, 부네치아라 불림"
"꽃보라동산","","대구광역시 북구 8경사진찍기좋은명소"
"운암지수변공원","","대구광역시 북구 8경사진찍기좋은명소"
"팔달대교 야경","","대구광역시 북구 8경사진찍기좋은명소"
"금호강하중도","","대구광역시 북구 8경사진찍기좋은명소"
"경북대학교 캠퍼스","대구광역시 북구 대학로80","대구광역시 북구 8경사진찍기좋은명소"
"두타연","강원도 방산면 두타연로 297","금강산에서 발원한 물줄기가 골짜기를 만나 아담한 폭포를 이루고, 그 아래 만들어진 너른 소를 일컫는다."
"한반도섬","강원도 양구군 양구읍 고대리 649-1","한반도지형을 그대로 축소한 섬"
"용평관광단지","","버치힐GC, 워터파크, 그린피아콘도, 드래곤밸리호텔 등 숙박시설 및 유원시설, 골프시설이 갖춰져 있으며, 사계절 휴양 가능한 복합 리조트이다."
"알펜시아관광단지","강원도 평창군 대관령면 솔봉로 325 일원","사계절 복합 리조트 시설을 갖추고 있음. 골프지구, 리조트빌리지지구, 스키지구, 동계올림픽지구로 구성되어 있으며 스키전망대 등 스키시설과 유원시설, 골프시설 등이 조성되어있다."
"휘닉스파크관광단지","강원도 평창군 봉평면 태기로 174 일원","스키, 스노우빌리지, 워터파크 등 다양한 레저시설을 갖추고 있으며 사계절 이용 가능한 복합레져휴양리조트이다. 골프장, 스키장, 유원시설 및 관광숙박시설 등 이용가능하다."
"김포평화누리길 1코스","","김포 평화누리길은 대명항에서 시작하여 문수산, 애기봉 입구를 지나 전류리포구까지 3코스(총39km)로 나뉘어 조성되어 있다."
"김포평화누리길 2코스","","김포 평화누리길은 대명항에서 시작하여 문수산, 애기봉 입구를 지나 전류리포구까지 3코스(총39km)로 나뉘어 조성되어 있다."
"김포평화누리길 3코스","","김포 평화누리길은 대명항에서 시작하여 문수산, 애기봉 입구를 지나 전류리포구까지 3코스(총39km)로 나뉘어 조성되어 있다."
"김포 장릉","경기도 김포시 장릉로 79(풍무동)","유네스코 세계문화유산으로 등재된 장릉(사적 제202호)은 조선 16대  인조대왕의 생부인 원종과 부인 인헌왕후 구씨를 모신 곳이다. 능 주위가 공원으로 꾸며져 있다."
"애기봉 평화생태공원","경기도 김포시 평화공원로 289","병자호란 때 끌려간 평안감사를 그리워하다 죽은 애기의 한이 강 하나를 사이에 두고 오가지 못하는 이산가족의 한과 같다고 하여 애기봉이라 명명한 곳으로 우리나라에서 북한을 제일 가까이에서 볼 수 있다."
"광주광역시학생독립기념관","광주광역시 서구 학생독립로 30","학생독립운동 정신 선양을 위해 나라사랑 역사체험학습, 전시안내 자원봉사자 양성, 광주광역시학생독립운동 동지회 지원 등을 비롯한 다채로운 프로그램을 전개"
"조선대학교 장미원","광주광역시 동구 필문대로 309","아름답게 핀 장미를 보며 산책할 수 있음"
"산동교친수공원","","넓은 유채꽃밭이 있으며, 도심 속 작은 휴양지를 느낄 수 있음"
"푸른길공원","","경정선 광주광역시 구간이 폐선된 이후 폐철도 부지에 조성된 도시공원"
"원효사","","원효대사가 창건한 고찰. 호남지방에서 통일신라시대 작품으로는 가장 아름답고 완전하게 보존된 것으로 후불탱화를 부처님 크기에 맞춰 목각탱화로 조성해 벽면에 부착시켜 놓았다."
"문화근린공원","광주광역시 북구 대천로 86","북구에 위치한 산책하기 좋은 공원"
"영산강거징이쉼터","","첨단2지구 영산강 수변공원, 피크닉 즐길 수 있음"
"광주광역시천천변공원","","분수쇼나와 아름다운 조명이 펼쳐져 가족과의 나들이나 연인들의 데이트 코스로 일품인 곳임"
"전남대학교용지","","전남대학교를 구경할 수 있음"
"맥문동숲길","","산책하며 꽃구경을 할 수 있음"
"용봉초록습지","","가족과 함께하기 좋은 산책로"
"세빛섬, 반포대교 달빛무지개분수","서울특별시 서초구 올림픽대로683","세빛섬은 세 개의 빛나는 섬이라는 의미로, 세계 최초로 물 위에 떠 있는 부체 위에 건물을 짓는 플로팅 형태의 건축물이다. 가빛섬, 채빛섬, 솔빛섬 등 3개의 섬이 다리로 연결되어 있고 미디어아트갤러리 예빛섬이 함께 조화를 이루고 있으며 컨벤션홀, 공연, 전시, 레스토랑 시설 등을 갖춘 복합문화공간이다."
"삼성딜라이트","서울특별시 서초구 서초대로74길 11","삼성딜라이트는 테마별로 꾸며진 최신 디지털 기술을 통해 미래의 새로운 생활패턴을 체험할 수 있다. 지상 1층과 2층은 삼성전자의 홍보관으로 관람객이 직접 흥미로운 디지털 미디어 인터렉션을 자유롭게 체험할 수 있으며, 지하 2층은 국내 최대 모바일 샵으로 다양한 삼성 전자제품의 체험과 구매가 가능하다."
"미당서정주의 집","서울특별시 관악구 남부순환로 256 나길 4","시인 미당 서정주가 1970년부터 2000년까지 실재 거주하던 곳으로 생활 흔적이 그대로 남아있음"
"강감찬전시관","서울특별시 관악구 낙성대로 77 낙성대공원내","강감찬장군과 귀주대첩 관련 자료를 전시하는 전시관"
"구문소 관광지","강원도 태백시 동태백로11(동점동)","천연기념물인 구문소와 접목되어 자연환경적 특성을 부각하고 지질학습 및 화석 산출지의 탐방자원화, 체류형 관광시설 도입"
"에코촌유스호스텔","전라남도 순천시 해룡면 생태배움길 123","세계5대 연안습지 순천만, 2013년 440만이 감동한 순천마 정원의 인근에 자리잡은 전국 최초 전통 한옥형 유스호스텔."
"순천자연휴양림","전라남도 순천시 서면 청소년수련원길 170","2011년 개장한 순천자연휴양림은 피톤치드가 풍부한 침엽수림으로 산책로가 길지않고 대부분이 평지여서 남녀노소 누구나 힐링할수 있는곳임"
"기독교역사박물관","전라남도 순천시 매산길 61(매곡동)","호남기독교 100년의 역사를 품은 순천시 기독교역사박물관은 한국 기독교 선교의 역사를 다양한 유물과 영상을 통해 알기 쉽게 전달하는 공립박물관입니다."
"승주골프장","전라남도 순천시 별량면 오실길 333","63만평의 순천만과 다도해가 내려다 보이는 광활한 대지 위에 자연 그대로 어우러져 동, 남, 중 3개 코스로 펼쳐진 전장 9,682m의 27홀 회원제 골프장입니다."
"파인힐스골프장","전라남도 순천시 주암면 송광사길 99","산림의 짙은 솔 내음의 대자연의 청취속에서 어우러진 다이나믹하고 드라마틱한 27홀코스"
"레이크힐스골프장","전라남도 순천시 주암면 행정1길 77","남도의 따뜻한 기후 아래 사계절 내내 푸른 양잔디에서 라운딩이 가능한 꿈의 필드"
"순천컨트리클럽","전라남도 순천시 별량면 동화사길 85","골프를 즐기면서 순천만과 여수, 고흥 앞바다를 한눈에 내려다볼 수 있는 자연 경관이 아름다운 남도 최고의 힐링골프장이다."
"부영컨트리클럽","전라남도 순천시 해룡면 신대로 188","자연 친화형 설계로 도심과 가까운 곳에 위치하여 언제든지 부담없이 즐길수 있는 18홀 코스 컨트리클럽"
"그림책도서관","전라남도 순천시 도서관길 33(동외동)","그림책원화전시 및 인형극등 체험"
"순천시청소년수련원","전라남도 순천시 서면 청소년수련원길 167","물과 숲 그리고 자연과 사람이 어우러지는 청소년 수련원"
"순천용오름마을","전라남도 순천시 주암면 운룡2길 17","한봉채취, 천연 밀랍초 만들기, 한봉 분양받기, 꿀벌 관찰 등 다양하고 흥미로운 체험을 할 수 있는 농촌전통테마마을"
"순천향매실마을","전라남도 순천시 월등면 계월길 138","50여년전 마을에 매화를 심은것을 시작으로 그 규모가 마을 단위로는 전국 최대 규모이며, 매년 4월이면 마을에는 매화꽃이 피기 시작하여 매화향기와 눈가루를 뿌려놓은듯한 풍경이 아름다운 마을입니다. 군장마을로 넘어가는 고개길에는 장군이 용마를 타고 하늘로 도약하면서 남겼다는 용발태족(용발자국)이 선명하게 남아있으며, 중촌마을에는 당산나무인 수령 500년생 느티나무 두 그루가 마을 입구에 서있어 마을의 오랜역사를 말해준다. 이문마을에는 이택종 선생이 일본에서 가져와 최초로 심은 매화나무로, 향매실마을에서 가장 오래된 매화나무가 자라고 있다."
"순천생태마을","전라남도 순천시 승주읍 고산도목길 9","산간마을의 오염되지 않은 환경 속에 도심에서는 볼 수 없는 생명들이 함께하는 곳으로 계곡과 습지가 잘 보존되어 있어 생태교육장으로 안성맞춤"
"선바위관광지","경상북도 영양군 입암면 영양로 883-16","절벽과 강을 사이에 두고 바위를 깎아 세운 듯한 선바위를 볼 수 있음"
"오동도","전라남도 여수시 오동도로 222","동백을 비롯하여 194종의 울창한 의귀수목과 기암절벽이 자연스럽게 조화를 이룬 섬으로 한려해상국립공원에 속해있다. 동백꽃으로 유명한 여수의 대표 관광지이다."
"진남관","전라남도 여수시 동문로 11","국보 제 304호 국내 최대 단층목조건물로 조선시대 400여 년간 조선수군의 본거지로 이용되었던 역사의 현장이다. 2020년 12월까지 보수공사중이다."
"향일암","전라남도 여수시 돌산읍 향일암로 60","우리나라 4대 관음기도도량 중 하나로 전국 최고의 일출명소이다. 644년 원효대사에 의해 창건되었다고 전해진다."
